date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:45:44	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sat,%2028%20Aug%202021%2012:45:44%20GMT	https://www.jaro.io/robots.txt		(from )
15:45:47	34225/34225	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Aug%202021%2012:45:45%20GMT	https://www.jaro.io/	C:/Users/legen/Desktop/Motley/Motley/www.jaro.io/index.html	(from )
15:45:49	142233/142233	---M-Z	200	added ('OK')	text/css	etag:%22f78f4615b5623e8eb6ffde99f5559a39%22	https://assets.website-files.com/5e0f6cce946b126508a0d575/css/jaroio.081eb5b86.min.css	C:/Users/legen/Desktop/Motley/Motley/assets.website-files.com/5e0f6cce946b126508a0d575/css/jaroio.081eb5b86.min.css	(from https://www.jaro.io/)
15:45:51	4753/4753	---M--	200	added ('OK')	image/png	etag:%22d0a6b6ed77fe1b230dbef0013eb68f41%22	https://assets.website-files.com/5e0f6cce946b126508a0d575/5fb4556cfc914f2fcf1777a0_favicon.png	C:/Users/legen/Desktop/Motley/Motley/assets.website-files.com/5e0f6cce946b126508a0d575/5fb4556cfc914f2fcf1777a0_favicon.png	(from https://www.jaro.io/)
15:45:51	8183/8183	---M--	200	added ('OK')	image/png	etag:%22d8a7677c912238efaf733a0d11a22ddf%22	https://assets.website-files.com/5e0f6cce946b126508a0d575/5fb45572fc914f53da1777bb_webclip.png	C:/Users/legen/Desktop/Motley/Motley/assets.website-files.com/5e0f6cce946b126508a0d575/5fb45572fc914f53da1777bb_webclip.png	(from https://www.jaro.io/)
15:45:52	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2028%20Aug%202021%2012:45:53%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/legen/Desktop/Motley/Motley/www.googletagmanager.com/gtm.35445.delayed	(from https://www.jaro.io/)
15:45:54	29867/29867	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Aug%202021%2012:45:54%20GMT	https://www.jaro.io/menu	C:/Users/legen/Desktop/Motley/Motley/www.jaro.io/menu.html	(from https://www.jaro.io/)
15:45:55	40687/40687	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Aug%202021%2012:45:55%20GMT	https://www.jaro.io/legal/privacy	C:/Users/legen/Desktop/Motley/Motley/www.jaro.io/legal/privacy.html	(from https://www.jaro.io/)
15:45:55	49193/49193	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Aug%202021%2012:45:56%20GMT	https://www.jaro.io/about	C:/Users/legen/Desktop/Motley/Motley/www.jaro.io/about.html	(from https://www.jaro.io/)
15:45:57	67715/67715	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Aug%202021%2012:45:57%20GMT	https://www.jaro.io/projects/sos-foods	C:/Users/legen/Desktop/Motley/Motley/www.jaro.io/projects/sos-foods.html	(from https://www.jaro.io/)
15:45:57	66084/66084	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Aug%202021%2012:45:58%20GMT	https://www.jaro.io/projects/kayam	C:/Users/legen/Desktop/Motley/Motley/www.jaro.io/projects/kayam.html	(from https://www.jaro.io/)
15:45:58	48145/48145	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Aug%202021%2012:45:59%20GMT	https://www.jaro.io/projects/takt1	C:/Users/legen/Desktop/Motley/Motley/www.jaro.io/projects/takt1.html	(from https://www.jaro.io/)
15:45:59	51043/51043	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Aug%202021%2012:45:59%20GMT	https://www.jaro.io/projects/lead	C:/Users/legen/Desktop/Motley/Motley/www.jaro.io/projects/lead.html	(from https://www.jaro.io/)
15:45:59	56832/56832	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Aug%202021%2012:46:00%20GMT	https://www.jaro.io/projects/watchbox	C:/Users/legen/Desktop/Motley/Motley/www.jaro.io/projects/watchbox.html	(from https://www.jaro.io/)
15:46:04	44519/44519	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Aug%202021%2012:46:01%20GMT	https://www.jaro.io/contact	C:/Users/legen/Desktop/Motley/Motley/www.jaro.io/contact.html	(from https://www.jaro.io/)
15:46:06	34208/34208	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Aug%202021%2012:46:06%20GMT	https://www.jaro.io/projects	C:/Users/legen/Desktop/Motley/Motley/www.jaro.io/projects.html	(from https://www.jaro.io/)
15:46:07	33010/33010	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Aug%202021%2012:46:07%20GMT	https://www.jaro.io/legal/site-info	C:/Users/legen/Desktop/Motley/Motley/www.jaro.io/legal/site-info.html	(from https://www.jaro.io/)
15:46:10	51881/51881	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Aug%202021%2012:46:09%20GMT	https://www.jaro.io/legal/terms-conditions	C:/Users/legen/Desktop/Motley/Motley/www.jaro.io/legal/terms-conditions.html	(from https://www.jaro.io/)
